Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
13,6.4,8.4,4.7,-,79.0,0,10.3,8.0,16.5,25.2, , , , 
14,6.7,9.0,4.7,-,83.0,0,9.8,8.7,14.4,25.2,o, , , 
15,8.5,13.7,5.0,-,63.0,0,8.9,11.9,22.2,38.9, , , , 
16,,,,,,,,,,,o, , , 
17,,,,,,,,,,,o, , , 
18,,,,,,,,,,, , , , 
19,10.2,14.9,3.6,-,58.0,0,11.1,11.1,18.3,32.4, , , , 
20,13.6,20.4,9.0,-,48.0,0,10.9,13.7,25.9,39.6, , , , 
21,15.7,22.1,7.0,-,52.0,0,9.8,13.1,18.3,35.2, , , , 
22,,,,,,,,,,, , , , 
23,,,,,,,,,,, , , , 
24,,,,,,,,,,, , , , 
25,18.9,26.1,13.0,1009.3,62.0,0,11.7,9.6,20.6,32.4,o, ,o, 
26,14.1,19.2,6.0,-,87.0,19.05,6.9,11.7,29.4,48.2,o, ,o, 
27,12.8,17.1,9.0,-,80.0,0,10.1,6.7,14.4,35.9,o, , , 
28,,,,,,,,,,,o, , , 
29,,,,,,,,,,,o, , , 
30,,,,,,,,,,,o, , , 
31,9.4,13.0,6.5,-,89.0,5.08,9.7,13.1,18.3,57.6,o, , , 
1,12.3,16.0,8.6,-,81.0,0,7.4,8.7,18.3,32.4, , , , 
2,15.4,21.0,10.0,-,59.0,0,8.0,15.2,22.2,39.6, , , , 
3,17.8,23.1,12.0,-,51.0,0,10.0,19.1,28.7,39.6, , , , 
4,,,,,,,,,,, , , , 
5,,,,,,,,,,, , , , 
6,,,,,,,,,,,o, ,o, 
7,16.1,21.4,11.0,-,66.0,8.89,10.5,12.6,22.2,32.4, , , , 
8,16.1,20.0,13.0,-,80.0,9.91,10.9,10.2,24.1,35.9,o, , , 
9,18.1,24.0,14.0,-,80.0,4.06,8.7,9.6,18.3,32.4,o, , ,o
10,,,,,,,,,,,o, ,o, 
11,,,,,,,,,,,o, , ,o
12,,,,,,,,,,,o, , , 
13,14.2,18.6,8.9,-,70.0,0,10.5,9.1,20.6,28.7, , , , 
14,15.6,20.5,10.6,-,71.0,0.76,10.8,5.9,16.5,21.7,o, , , 
15,16.6,21.2,12.7,-,63.0,2.03,10.3,22.8,32.4,46.9, , , , 
16,,,,,,,,,,, , , , 
17,,,,,,,,,,,o, , , 
18,,,,,,,,,,, , , , 
19,11.1,15.6,7.0,-,69.0,0.76,11.4,12.4,24.1,46.9,o, , , 
20,10.4,14.1,6.0,-,73.0,0,11.3,13.7,18.3,32.4,o, , , 
21,12.2,16.2,8.0,-,61.0,0,10.9,8.9,18.0,25.2, , , , 
22,,,,,,,,,,, , , , 
23,,,,,,,,,,, , , , 
24,,,,,,,,,,, , , , 
25,21.5,27.4,15.6,-,52.0,0,10.8,10.9,18.0,25.2, , , , 
26,21.7,26.6,16.1,-,47.0,0,10.6,10.2,16.5,28.7, , , , 
27,22.9,28.5,16.8,-,44.0,0,10.1,7.8,13.0,21.7, , , , 
28,,,,,,,,,,, , , , 
29,,,,,,,,,,, , , , 
30,,,,,,,,,,, , , , 
1,24.2,29.1,18.0,-,45.0,0,10.8,6.3,11.1,25.2, , , , 
2,26.4,32.0,18.5,-,41.0,0,10.8,6.5,13.0,31.3,o, ,o, 
3,25.6,31.8,21.0,-,61.0,0,11.1,11.5,31.3,46.9, , ,o, 
4,,,,,,,,,,, , , , 
5,,,,,,,,,,, , , , 
6,,,,,,,,,,, , , , 
7,20.9,27.4,13.9,-,41.0,0,10.8,5.9,13.0,21.7, , , , 
8,24.8,31.0,15.6,-,36.0,0,10.8,5.6,11.1,18.0, , , , 
9,25.8,31.0,19.5,-,47.0,0,10.8,9.6,18.3,28.7, , , , 
10,,,,,,,,,,,o, ,o, 
11,,,,,,,,,,, , ,o,o
12,,,,,,,,,,,o, , , 
13,21.3,27.0,15.9,-,64.0,0,11.1,8.7,18.0,28.7, , , , 
14,22.3,32.3,16.0,-,63.0,0,10.5,13.3,53.9,86.3,o, ,o, 
15,19.1,23.9,15.0,-,54.0,0,10.6,18.5,31.3,50.4,o, , , 
16,,,,,,,,,,,o, , , 
